Episode 368/500, Total Reward: 88, Epsilon: 0.158
Episode 369/500, Total Reward: 88, Epsilon: 0.157
Episode 370/500, Total Reward: 87, Epsilon: 0.157
Episode 371/500, Total Reward: 88, Epsilon: 0.156
Episode 372/500, Total Reward: 85, Epsilon: 0.155
Episode 373/500, Total Reward: 90, Epsilon: 0.154
Episode 374/500, Total Reward: 85, Epsilon: 0.153
Episode 375/500, Total Reward: 86, Epsilon: 0.153
Episode 376/500, Total Reward: 88, Epsilon: 0.152
Episode 377/500, Total Reward: 90, Epsilon: 0.151
Episode 378/500, Total Reward: 87, Epsilon: 0.150
Episode 379/500, Total Reward: 90, Epsilon: 0.150
Episode 380/500, Total Reward: 88, Epsilon: 0.149
Episode 381/500, Total Reward: 90, Epsilon: 0.148
Episode 382/500, Total Reward: 86, Epsilon: 0.147
Episode 383/500, Total Reward: 88, Epsilon: 0.147
Episode 384/500, Total Reward: 90, Epsilon: 0.146
Episode 385/500, Total Reward: 86, Epsilon: 0.145
Episode 386/500, Total Reward: 90, Epsilon: 0.144
Episode 387/500, Total Reward: 87, Epsilon: 0.144
Episode 388/500, Total Reward: 90, Epsilon: 0.143
Episode 389/500, Total Reward: 86, Epsilon: 0.142
Episode 390/500, Total Reward: 84, Epsilon: 0.142
Episode 391/500, Total Reward: 86, Epsilon: 0.141
Episode 392/500, Total Reward: 90, Epsilon: 0.140
Episode 393/500, Total Reward: 82, Epsilon: 0.139
Episode 394/500, Total Reward: 90, Epsilon: 0.139
Episode 395/500, Total Reward: 86, Epsilon: 0.138
Episode 396/500, Total Reward: 85, Epsilon: 0.137
Episode 397/500, Total Reward: 86, Epsilon: 0.137
Episode 398/500, Total Reward: 90, Epsilon: 0.136
Episode 399/500, Total Reward: 86, Epsilon: 0.135
Episode 400/500, Total Reward: 86, Epsilon: 0.135
Episode 401/500, Total Reward: 87, Epsilon: 0.134
Episode 402/500, Total Reward: 87, Epsilon: 0.133
Episode 403/500, Total Reward: 90, Epsilon: 0.133
Episode 404/500, Total Reward: 88, Epsilon: 0.132
Episode 405/500, Total Reward: 90, Epsilon: 0.131
Episode 406/500, Total Reward: 88, Epsilon: 0.131
Episode 407/500, Total Reward: 88, Epsilon: 0.130
Episode 408/500, Total Reward: 90, Epsilon: 0.129
Episode 409/500, Total Reward: 83, Epsilon: 0.129
Episode 410/500, Total Reward: 89, Epsilon: 0.128
Episode 411/500, Total Reward: 90, Epsilon: 0.127
Episode 412/500, Total Reward: 90, Epsilon: 0.127
Episode 413/500, Total Reward: 88, Epsilon: 0.126
Episode 414/500, Total Reward: 86, Epsilon: 0.126
Episode 415/500, Total Reward: 90, Epsilon: 0.125
Episode 416/500, Total Reward: 88, Epsilon: 0.124
Episode 417/500, Total Reward: 90, Epsilon: 0.124
Episode 418/500, Total Reward: 90, Epsilon: 0.123
Episode 419/500, Total Reward: 88, Epsilon: 0.122
Episode 420/500, Total Reward: 89, Epsilon: 0.122
Episode 421/500, Total Reward: 90, Epsilon: 0.121
Episode 422/500, Total Reward: 86, Epsilon: 0.121
Episode 423/500, Total Reward: 88, Epsilon: 0.120
Episode 424/500, Total Reward: 86, Epsilon: 0.119
Episode 425/500, Total Reward: 89, Epsilon: 0.119
Episode 426/500, Total Reward: 88, Epsilon: 0.118
Episode 427/500, Total Reward: 86, Epsilon: 0.118
Episode 428/500, Total Reward: 86, Epsilon: 0.117
Episode 429/500, Total Reward: 90, Epsilon: 0.116
Episode 430/500, Total Reward: 90, Epsilon: 0.116
Episode 431/500, Total Reward: 88, Epsilon: 0.115
Episode 432/500, Total Reward: 90, Epsilon: 0.115
Episode 433/500, Total Reward: 90, Epsilon: 0.114
Episode 434/500, Total Reward: 90, Epsilon: 0.114
Episode 435/500, Total Reward: 88, Epsilon: 0.113
Episode 436/500, Total Reward: 81, Epsilon: 0.112
Episode 437/500, Total Reward: 90, Epsilon: 0.112
Episode 438/500, Total Reward: 87, Epsilon: 0.111
Episode 439/500, Total Reward: 90, Epsilon: 0.111
Episode 440/500, Total Reward: 89, Epsilon: 0.110
Episode 441/500, Total Reward: 90, Epsilon: 0.110
Episode 442/500, Total Reward: 90, Epsilon: 0.109
Episode 443/500, Total Reward: 90, Epsilon: 0.109
Episode 444/500, Total Reward: 88, Epsilon: 0.108
Episode 445/500, Total Reward: 88, Epsilon: 0.107
Episode 446/500, Total Reward: 90, Epsilon: 0.107
Episode 447/500, Total Reward: 86, Epsilon: 0.106
Episode 448/500, Total Reward: 90, Epsilon: 0.106
Episode 449/500, Total Reward: 90, Epsilon: 0.105
Episode 450/500, Total Reward: 86, Epsilon: 0.105
Episode 451/500, Total Reward: 88, Epsilon: 0.104
Episode 452/500, Total Reward: 90, Epsilon: 0.104
Episode 453/500, Total Reward: 88, Epsilon: 0.103
Episode 454/500, Total Reward: 88, Epsilon: 0.103
Episode 455/500, Total Reward: 88, Epsilon: 0.102
Episode 456/500, Total Reward: 90, Epsilon: 0.102
Episode 457/500, Total Reward: 84, Epsilon: 0.101
Episode 458/500, Total Reward: 88, Epsilon: 0.101
Episode 459/500, Total Reward: 90, Epsilon: 0.100
Episode 460/500, Total Reward: 88, Epsilon: 0.100
Episode 461/500, Total Reward: 90, Epsilon: 0.100
Episode 462/500, Total Reward: 90, Epsilon: 0.100
Episode 463/500, Total Reward: 90, Epsilon: 0.100
Episode 464/500, Total Reward: 89, Epsilon: 0.100
Episode 465/500, Total Reward: 86, Epsilon: 0.100
Episode 466/500, Total Reward: 90, Epsilon: 0.100
Episode 467/500, Total Reward: 90, Epsilon: 0.100
Episode 468/500, Total Reward: 88, Epsilon: 0.100
Episode 469/500, Total Reward: 88, Epsilon: 0.100
Episode 470/500, Total Reward: 89, Epsilon: 0.100
Episode 471/500, Total Reward: 88, Epsilon: 0.100
Episode 472/500, Total Reward: 84, Epsilon: 0.100
Episode 473/500, Total Reward: 89, Epsilon: 0.100
Episode 474/500, Total Reward: 88, Epsilon: 0.100
Episode 475/500, Total Reward: 89, Epsilon: 0.100
Episode 476/500, Total Reward: 88, Epsilon: 0.100
Episode 477/500, Total Reward: 89, Epsilon: 0.100
Episode 478/500, Total Reward: 90, Epsilon: 0.100
Episode 479/500, Total Reward: 86, Epsilon: 0.100
Episode 480/500, Total Reward: 86, Epsilon: 0.100
Episode 481/500, Total Reward: 88, Epsilon: 0.100
Episode 482/500, Total Reward: 87, Epsilon: 0.100
Episode 483/500, Total Reward: 84, Epsilon: 0.100
Episode 484/500, Total Reward: 87, Epsilon: 0.100
Episode 485/500, Total Reward: 90, Epsilon: 0.100
Episode 486/500, Total Reward: 88, Epsilon: 0.100
Episode 487/500, Total Reward: 86, Epsilon: 0.100
Episode 488/500, Total Reward: 86, Epsilon: 0.100
Episode 489/500, Total Reward: 90, Epsilon: 0.100
Episode 490/500, Total Reward: 90, Epsilon: 0.100
Episode 491/500, Total Reward: 88, Epsilon: 0.100
Episode 492/500, Total Reward: 90, Epsilon: 0.100
Episode 493/500, Total Reward: 88, Epsilon: 0.100
Episode 494/500, Total Reward: 85, Epsilon: 0.100
Episode 495/500, Total Reward: 90, Epsilon: 0.100
Episode 496/500, Total Reward: 88, Epsilon: 0.100
Episode 497/500, Total Reward: 85, Epsilon: 0.100
Episode 498/500, Total Reward: 90, Epsilon: 0.100
Episode 499/500, Total Reward: 90, Epsilon: 0.100
